date,state,cases
03/18/2020,Maryland,85
03/18/2020,Massachusetts,256
03/18/2020,Michigan,80
03/18/2020,Minnesota,77
03/18/2020,Mississippi,34
03/18/2020,Missouri,21
03/18/2020,Montana,12
03/18/2020,Nebraska,43
03/18/2020,Nevada,82
03/18/2020,New Hampshire,39
03/18/2020,New Jersey,427
03/18/2020,New Mexico,28
03/18/2020,New York,2387
03/18/2020,North Carolina,66
03/18/2020,North Dakota,7
03/18/2020,Ohio,90
03/18/2020,Oklahoma,29
03/18/2020,Oregon,74
03/18/2020,Pennsylvania,139
03/18/2020,Puerto Rico,5
03/18/2020,Rhode Island,33
03/18/2020,South Carolina,60
03/18/2020,South Dakota,11
03/18/2020,Tennessee,98
03/18/2020,Texas,166
03/18/2020,Utah,65
03/18/2020,Vermont,19
03/18/2020,Virgin Islands,3
03/18/2020,Virginia,78
03/18/2020,Washington,1026
03/18/2020,West Virginia,2
03/18/2020,Wisconsin,106
03/18/2020,Wyoming,17
03/19/2020,Alabama,78
03/19/2020,Alaska,12
03/19/2020,Arizona,47
03/19/2020,Arkansas,62
03/19/2020,California,1067
03/19/2020,Colorado,278
03/19/2020,Connecticut,159
03/19/2020,Delaware,30
03/19/2020,District of Columbia,39
03/19/2020,Florida,434
03/19/2020,Georgia,282
03/19/2020,Guam,12
03/19/2020,Hawaii,26
03/19/2020,Idaho,23
03/19/2020,Illinois,420
03/19/2020,Indiana,56
03/19/2020,Iowa,44
03/19/2020,Kansas,35
03/19/2020,Kentucky,47
03/19/2020,Louisiana,392
03/19/2020,Maine,52
03/19/2020,Maryland,108
03/19/2020,Massachusetts,328
03/19/2020,Michigan,334
03/19/2020,Minnesota,89
03/19/2020,Mississippi,50
03/19/2020,Missouri,35
03/19/2020,Montana,19
03/19/2020,Nebraska,47
03/19/2020,Nevada,99
03/19/2020,New Hampshire,44
03/19/2020,New Jersey,735
03/19/2020,New Mexico,35
03/19/2020,New York,4161
03/19/2020,North Carolina,104
03/19/2020,North Dakota,19
03/19/2020,Ohio,120
03/19/2020,Oklahoma,44
03/19/2020,Oregon,87
03/19/2020,Pennsylvania,187
03/19/2020,Puerto Rico,6
03/19/2020,Rhode Island,44
03/19/2020,South Carolina,81
03/19/2020,South Dakota,14
03/19/2020,Tennessee,155
03/19/2020,Texas,248
03/19/2020,Utah,80
03/19/2020,Vermont,22
03/19/2020,Virgin Islands,3
03/19/2020,Virginia,94
03/19/2020,Washington,1228
03/19/2020,West Virginia,5
03/19/2020,Wisconsin,155
03/19/2020,Wyoming,18
03/20/2020,Alabama,106
03/20/2020,Alaska,14
03/20/2020,Arizona,70
03/20/2020,Arkansas,100
03/20/2020,California,1283
03/20/2020,Colorado,364
03/20/2020,Connecticut,194
03/20/2020,Delaware,39
03/20/2020,District of Columbia,71
03/20/2020,Florida,564
03/20/2020,Georgia,482
03/20/2020,Guam,14
03/20/2020,Hawaii,37
03/20/2020,Idaho,31
03/20/2020,Illinois,583
03/20/2020,Indiana,81
03/20/2020,Iowa,45
03/20/2020,Kansas,49
03/20/2020,Kentucky,63
03/20/2020,Louisiana,537
03/20/2020,Maine,57
03/20/2020,Maryland,150
